! ConsToPrim(): p(E) < 0 (-1.77e+04),   @step = 20411 (stage = 1); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-7.33e+03),   @step = 20411 (stage = 3); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-4.98e+04),   @step = 20412 (stage = 1); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-2.46e+04),   @step = 20412 (stage = 3); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-8.61e+04),   @step = 20413 (stage = 1); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-3.69e+04),   @step = 20413 (stage = 3); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-4.57e+04),   @step = 20414 (stage = 1); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-2.13e+04),   @step = 20414 (stage = 3); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-1.55e+05),   @step = 20415 (stage = 1); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-3.86e+04),   @step = 20415 (stage = 3); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-2.46e+04),   @step = 20416 (stage = 1); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-2.57e+04),   @step = 20416 (stage = 3); [i = 8], [x1 = 3.777500]
! ConsToPrim(): p(E) < 0 (-4.57e+04),   @step = 20419 (stage = 1); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-2.30e+04),   @step = 20419 (stage = 3); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-8.23e+04),   @step = 20420 (stage = 1); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-3.98e+04),   @step = 20420 (stage = 3); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-1.29e+05),   @step = 20421 (stage = 1); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-3.84e+04),   @step = 20421 (stage = 3); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-5.01e+04),   @step = 20422 (stage = 1); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-3.94e+03),   @step = 20422 (stage = 2); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-2.13e+04),   @step = 20422 (stage = 3); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-4.78e+04),   @step = 20423 (stage = 1); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-1.83e+04),   @step = 20423 (stage = 3); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-1.35e+04),   @step = 20424 (stage = 1); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-4.19e+03),   @step = 20424 (stage = 3); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-1.95e+03),   @step = 20425 (stage = 1); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-4.66e+03),   @step = 20426 (stage = 1); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-6.85e+04),   @step = 20427 (stage = 1); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-2.76e+02),   @step = 20427 (stage = 1); [i = 7], [x1 = 3.682500]
! ConsToPrim(): p(E) < 0 (-3.41e+04),   @step = 20427 (stage = 3); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-1.12e+05),   @step = 20428 (stage = 1); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-4.27e+04),   @step = 20428 (stage = 3); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-1.45e+05),   @step = 20429 (stage = 1); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-3.95e+04),   @step = 20429 (stage = 3); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-4.70e+04),   @step = 20430 (stage = 1); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-1.97e+04),   @step = 20430 (stage = 3); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-5.88e+04),   @step = 20431 (stage = 1); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-1.68e+04),   @step = 20431 (stage = 3); [i = 6], [x1 = 3.587500]
! ConsToPrim(): p(E) < 0 (-2.72e+04),   @step = 20433 (stage = 1); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-1.29e+04),   @step = 20433 (stage = 3); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-6.07e+04),   @step = 20434 (stage = 1); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-3.09e+04),   @step = 20434 (stage = 3); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-9.91e+04),   @step = 20435 (stage = 1); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-4.80e+04),   @step = 20435 (stage = 3); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-5.46e+04),   @step = 20436 (stage = 1); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-2.60e+04),   @step = 20436 (stage = 3); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-1.63e+05),   @step = 20437 (stage = 1); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-4.38e+04),   @step = 20437 (stage = 3); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-5.13e+04),   @step = 20438 (stage = 1); [i = 5], [x1 = 3.492500]
! ConsToPrim(): p(E) < 0 (-6.58e+04),   @step = 20438 (stage = 3); [i = 5], [x1 = 3.492500]
! ConsToPrim: rho < 0 (-4.67e+02),   @step = 20439 (stage = 1); [i = 5], [x1 = 3.492500]
! ConsToPrim: E < 0 (-4.84e+04),   @step = 20439 (stage = 1); [i = 5], [x1 = 3.492500]
> CheckNan() [stateC->v]: NaN found  @step = 20439 (stage = 3); [i = 4], [x1 = 3.397500]
X-sweep (4)> 2.783e+05  -7.518e+00  0.000e+00  0.000e+00      -nan  
! Abort
! ConsToPrim(): p(E) < 0 (-2.34e+05),   @step = 37443 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-1.33e+05),   @step = 37443 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-4.82e+05),   @step = 37444 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-2.60e+05),   @step = 37444 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-7.48e+05),   @step = 37445 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-3.90e+05),   @step = 37445 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-4.10e+05),   @step = 37446 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-6.18e+03),   @step = 37446 (stage = 2); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-2.04e+05),   @step = 37446 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-1.22e+06),   @step = 37447 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-3.79e+05),   @step = 37447 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-3.30e+05),   @step = 37448 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-1.49e+05),   @step = 37448 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-9.71e+05),   @step = 37449 (stage = 1); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-8.50e+04),   @step = 37449 (stage = 3); [i = 8], [x1 = 2.138750]
! ConsToPrim(): p(E) < 0 (-2.47e+05),   @step = 37452 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-1.40e+05),   @step = 37452 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-4.48e+05),   @step = 37453 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-3.75e+03),   @step = 37453 (stage = 2); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-2.48e+05),   @step = 37453 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-7.42e+05),   @step = 37454 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-3.84e+05),   @step = 37454 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-1.04e+06),   @step = 37455 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-3.73e+05),   @step = 37455 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-4.41e+05),   @step = 37456 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-5.44e+03),   @step = 37456 (stage = 2); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-2.16e+05),   @step = 37456 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-4.32e+05),   @step = 37457 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-1.89e+05),   @step = 37457 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-3.34e+05),   @step = 37458 (stage = 1); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-2.79e+05),   @step = 37458 (stage = 3); [i = 7], [x1 = 2.091250]
! ConsToPrim(): p(E) < 0 (-5.01e+05),   @step = 37461 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-1.22e+04),   @step = 37461 (stage = 2); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-2.80e+05),   @step = 37461 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-7.06e+05),   @step = 37462 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-3.78e+05),   @step = 37462 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-1.03e+06),   @step = 37463 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-4.49e+05),   @step = 37463 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-4.88e+05),   @step = 37464 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-9.55e+03),   @step = 37464 (stage = 2); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-2.42e+05),   @step = 37464 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-1.56e+06),   @step = 37465 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-4.22e+05),   @step = 37465 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-1.56e+05),   @step = 37466 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-6.55e+04),   @step = 37466 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-3.69e+05),   @step = 37467 (stage = 1); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-8.69e+04),   @step = 37467 (stage = 3); [i = 6], [x1 = 2.043750]
! ConsToPrim(): p(E) < 0 (-2.12e+03),   @step = 37473 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-6.46e+04),   @step = 37474 (stage = 1); [i = 5], [x1 = 1.996250]
! ConsToPrim(): p(E) < 0 (-3.29e+04),   @step = 37474 (stage = 3); [i = 5], [x1 = 1.996250]
