! ConsToPrim(): p(E) < 0 (-2.68e+04),   @step = 20374 (stage = 1); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-1.19e+04),   @step = 20374 (stage = 3); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-5.40e+04),   @step = 20375 (stage = 1); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-2.49e+04),   @step = 20375 (stage = 3); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-3.21e+04),   @step = 20376 (stage = 1); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-1.48e+04),   @step = 20376 (stage = 3); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-1.00e+05),   @step = 20377 (stage = 1); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-2.88e+04),   @step = 20377 (stage = 3); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-2.55e+04),   @step = 20378 (stage = 1); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-2.51e+04),   @step = 20378 (stage = 3); [i = 8], [x1 = 4.252500]
! ConsToPrim(): p(E) < 0 (-1.43e+04),   @step = 20381 (stage = 1); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-5.57e+03),   @step = 20381 (stage = 3); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-3.60e+04),   @step = 20382 (stage = 1); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-1.82e+04),   @step = 20382 (stage = 3); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-6.19e+04),   @step = 20383 (stage = 1); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-2.50e+04),   @step = 20383 (stage = 3); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-3.37e+04),   @step = 20384 (stage = 1); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-1.56e+04),   @step = 20384 (stage = 3); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-1.20e+05),   @step = 20385 (stage = 1); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-9.60e+03),   @step = 20385 (stage = 3); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-2.79e+04),   @step = 20386 (stage = 1); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-3.24e+04),   @step = 20386 (stage = 3); [i = 7], [x1 = 4.157500]
! ConsToPrim(): p(E) < 0 (-2.36e+04),   @step = 20389 (stage = 1); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-7.47e+03),   @step = 20389 (stage = 3); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-5.50e+04),   @step = 20390 (stage = 1); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-2.44e+04),   @step = 20390 (stage = 3); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-8.84e+04),   @step = 20391 (stage = 1); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-2.54e+04),   @step = 20391 (stage = 3); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-3.40e+04),   @step = 20392 (stage = 1); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-1.84e+02),   @step = 20392 (stage = 2); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-1.57e+04),   @step = 20392 (stage = 3); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-3.33e+04),   @step = 20393 (stage = 1); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-3.61e+04),   @step = 20393 (stage = 3); [i = 6], [x1 = 4.062500]
! ConsToPrim(): p(E) < 0 (-1.62e+04),   @step = 20396 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-8.21e+03),   @step = 20396 (stage = 3); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-3.27e+04),   @step = 20397 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-1.73e+04),   @step = 20397 (stage = 3); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-5.75e+04),   @step = 20398 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-2.67e+04),   @step = 20398 (stage = 3); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-7.40e+04),   @step = 20399 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-2.69e+04),   @step = 20399 (stage = 3); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-3.50e+04),   @step = 20400 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-3.36e+03),   @step = 20400 (stage = 2); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-1.59e+04),   @step = 20400 (stage = 3); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-3.39e+04),   @step = 20401 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-1.34e+04),   @step = 20401 (stage = 3); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-8.15e+03),   @step = 20402 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-2.82e+03),   @step = 20402 (stage = 3); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-4.45e+02),   @step = 20403 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-1.74e+04),   @step = 20404 (stage = 1); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-1.94e+02),   @step = 20404 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-1.05e+03),   @step = 20404 (stage = 3); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-4.59e+04),   @step = 20405 (stage = 1); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-2.37e+02),   @step = 20405 (stage = 1); [i = 5], [x1 = 3.967500]
! ConsToPrim(): p(E) < 0 (-1.69e+04),   @step = 20405 (stage = 3); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-8.75e+04),   @step = 20406 (stage = 1); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-2.89e+04),   @step = 20406 (stage = 3); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-1.15e+05),   @step = 20407 (stage = 1); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-3.35e+04),   @step = 20407 (stage = 3); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-3.64e+04),   @step = 20408 (stage = 1); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-1.39e+04),   @step = 20408 (stage = 3); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-3.57e+04),   @step = 20409 (stage = 1); [i = 4], [x1 = 3.872500]
! ConsToPrim(): p(E) < 0 (-8.70e+03),   @step = 20409 (stage = 3); [i = 4], [x1 = 3.872500]
> CheckNan() [stateC->v]: NaN found  @step = 20439 (stage = 3); [i = 0], [x1 = 3.492500]
X-sweep (0)> 1.507e+04  -1.871e+13  0.000e+00  0.000e+00      -nan  
! Abort
! ConsToPrim(): p(E) < 0 (-1.78e+05),   @step = 37370 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.00e+05),   @step = 37370 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-3.42e+05),   @step = 37371 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.88e+05),   @step = 37371 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-5.82e+05),   @step = 37372 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-2.84e+05),   @step = 37372 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-8.00e+05),   @step = 37373 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-2.65e+05),   @step = 37373 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-3.27e+05),   @step = 37374 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-2.76e+03),   @step = 37374 (stage = 2); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.60e+05),   @step = 37374 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-3.21e+05),   @step = 37375 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.23e+05),   @step = 37375 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.08e+04),   @step = 37376 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-4.57e+03),   @step = 37376 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-2.95e+04),   @step = 37377 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-7.84e+03),   @step = 37377 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.10e+04),   @step = 37378 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-4.62e+03),   @step = 37378 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.54e+04),   @step = 37379 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-2.13e+03),   @step = 37379 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-4.46e+03),   @step = 37380 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.20e+03),   @step = 37380 (stage = 3); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-6.94e+03),   @step = 37381 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-9.20e+02),   @step = 37382 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-2.27e+03),   @step = 37383 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-9.49e+01),   @step = 37385 (stage = 1); [i = 8], [x1 = 2.376250]
! ConsToPrim(): p(E) < 0 (-1.62e+04),   @step = 37391 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-3.90e+03),   @step = 37391 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-3.95e+04),   @step = 37392 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.89e+04),   @step = 37392 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-5.84e+04),   @step = 37393 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-3.12e+04),   @step = 37393 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-8.73e+04),   @step = 37394 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-4.92e+04),   @step = 37394 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.09e+05),   @step = 37395 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-4.59e+03),   @step = 37395 (stage = 2); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-6.31e+04),   @step = 37395 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.49e+05),   @step = 37396 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-9.62e+03),   @step = 37396 (stage = 2); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-8.60e+04),   @step = 37396 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.68e+05),   @step = 37397 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.04e+04),   @step = 37397 (stage = 2); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-9.30e+04),   @step = 37397 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-2.13e+05),   @step = 37398 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-5.20e+04),   @step = 37398 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-2.15e+05),   @step = 37399 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.21e+05),   @step = 37399 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.14e+05),   @step = 37400 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.02e+04),   @step = 37400 (stage = 2); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-6.50e+04),   @step = 37400 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-2.78e+05),   @step = 37401 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.53e+05),   @step = 37401 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.31e+05),   @step = 37402 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.24e+04),   @step = 37402 (stage = 2); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-7.38e+04),   @step = 37402 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.30e+05),   @step = 37403 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.41e+04),   @step = 37403 (stage = 2); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-5.91e+04),   @step = 37403 (stage = 3); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-1.58e+05),   @step = 37404 (stage = 1); [i = 7], [x1 = 2.328750]
! ConsToPrim(): p(E) < 0 (-4.56e+04),   @step = 37404 (stage = 3); [i = 7], [x1 = 2.328750]
